Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
stalk_images/IMG_20240715_095432_703.jpg,          70.114,                2,          6,          0,          0,          27.295,           123.016,          141.0,          124.0,         142.0,         82.0
stalk_images/IMG_20240716_084956_718.jpg,          71.021,                10,          9,          0,          0,          29.547,           135.033,          239.0,          101.0,         240.0,         128.0
stalk_images/IMG_20240716_084925_713.jpg,          69.181,                2,          7,          0,          0,          21.095,           82.006,          79.0,          89.0,         70.0,         144.0
stalk_images/IMG_20240715_095405_699.jpg,          73.437,                2,          9,          0,          0,          21.932,           115.732,          163.0,          149.0,         118.0,         81.0
stalk_images/IMG_20240725_113429_675.jpg,          1018.311,                2,          6,          0,          0,          226.877,           194.196,          92.0,          98.0,         107.0,         244.0
stalk_images/IMG_20240708_145613_784.jpg,          68.066,                3,          0,          0,          0,          25.239,           91.088,          56.0,          84.0,         53.0,         116.0
stalk_images/IMG_20240718_115943_182.jpg,          64.63,                6,          8,          0,          0,          21.378,           109.115,          215.0,          56.0,         196.0,         72.0
stalk_images/IMG_20240708_145533_777.jpg,          849.059,                4,          5,          0,          0,          212.132,           177.598,          143.0,          96.0,         141.0,         73.0
stalk_images/IMG_20240709_121531_793.jpg,          68.066,                2,          0,          0,          0,          19.235,           86.0,          28.0,          39.0,         32.0,         82.0
stalk_images/IMG_20240718_120010_187.jpg,          610.365,                9,          9,          0,          0,          106.231,           353.815,          154.0,          127.0,         348.0,         304.0
stalk_images/IMG_20240715_095353_697.jpg,          63.151,                9,          10,          0,          0,          22.361,           108.005,          171.0,          107.0,         9.0,         24.0
stalk_images/IMG_20240716_084937_715.jpg,          64.133,                8,          8,          0,          0,          26.42,           131.548,          170.0,          83.0,         171.0,         91.0
stalk_images/IMG_20240725_113329_663.jpg,          72.367,                5,          9,          0,          0,          72.367,           90.089,          67.0,          122.0,         260.0,         439.0
stalk_images/IMG_20240716_084921_712.jpg,          66.03,                9,          0,          0,          0,          26.077,           95.005,          120.0,          114.0,         107.0,         151.0
stalk_images/IMG_20240708_145458_770.jpg,          70.0,                4,          0,          0,          0,          25.807,           84.024,          70.0,          56.0,         49.0,         49.0
stalk_images/IMG_20240716_085009_720.jpg,          74.007,                2,          0,          0,          0,          28.302,           89.275,          95.0,          72.0,         56.0,         34.0
stalk_images/IMG_20240715_095312_690.jpg,          69.116,                7,          0,          0,          0,          28.792,           99.182,          133.0,          102.0,         140.0,         83.0
stalk_images/IMG_20240716_085003_719.jpg,          69.376,                6,          0,          0,          0,          14.318,           109.005,          118.0,          59.0,         96.0,         55.0
stalk_images/IMG_20240708_145620_785.jpg,          75.166,                8,          0,          0,          0,          29.53,           90.139,          73.0,          109.0,         58.0,         83.0
stalk_images/IMG_20240725_113344_667.jpg,          33.971,                8,          0,          0,          0,          270.74,           271.249,          162.0,          125.0,         140.0,         229.0
stalk_images/IMG_20240709_121538_794.jpg,          299.977,                3,          0,          0,          0,          316.891,           292.85,          210.0,          118.0,         6.0,         128.0
stalk_images/IMG_20240715_095441_704.jpg,          72.339,                5,          2,          0,          0,          25.239,           83.096,          95.0,          95.0,         106.0,         126.0
stalk_images/IMG_20240716_084949_717.jpg,          67.186,                9,          0,          0,          0,          20.809,           102.176,          6.0,          2.0,         5.0,         106.0
stalk_images/IMG_20240709_121624_800.jpg,          72.028,                2,          0,          0,          0,          21.932,           79.006,          41.0,          89.0,         0.0,         0.0
stalk_images/IMG_20240708_145549_780.jpg,          72.691,                10,          0,          0,          0,          20.616,           126.016,          117.0,          111.0,         111.0,         124.0
stalk_images/IMG_20240725_113416_672.jpg,          66.491,                5,          13,          0,          0,          27.514,           97.021,          310.0,          182.0,         285.0,         143.0
stalk_images/IMG_20240709_121552_797.jpg,          72.173,                7,          8,          0,          0,          14.422,           111.005,          86.0,          68.0,         47.0,         44.0
stalk_images/IMG_20240725_113340_666.jpg,          62.129,                6,          1,          0,          0,          22.472,           80.0,          84.0,          151.0,         94.0,         150.0
stalk_images/IMG_20240716_085028_722.jpg,          72.007,                4,          4,          0,          0,          21.19,           81.0,          112.0,          120.0,         100.0,         122.0
stalk_images/IMG_20240709_121511_789.jpg,          65.123,                9,          5,          0,          0,          16.125,           108.116,          173.0,          177.0,         189.0,         108.0
stalk_images/IMG_20240709_121628_801.jpg,          68.007,                2,          6,          0,          0,          30.887,           115.039,          106.0,          51.0,         115.0,         42.0
stalk_images/IMG_20240715_095341_695.jpg,          70.029,                7,          0,          0,          0,          24.352,           77.233,          88.0,          81.0,         84.0,         130.0
stalk_images/IMG_20240716_084902_709.jpg,          64.07,                4,          10,          3,          0,          30.414,           102.122,          205.0,          143.0,         197.0,         188.0
stalk_images/IMG_20240708_145505_771.jpg,          67.268,                8,          4,          0,          0,          20.881,           106.118,          156.0,          132.0,         162.0,         115.0
