Problem,Solution,Accuracy Score,Man-hour Score,Investment Cost Score,Implementation Time Score,Time-to-data Complexity,Potential Value Score,Symbiosis Score
Sample Problem,Sample Solution,0,0,0,0,0,0,0
2.1 Field Traversal,Fully Manual,50,0,80,90,80,0,100
2.1 Field Traversal,Manual - tool assisted - post processed,90,60,40,60,20,50,20
2.1 Field Traversal,Robotic - ground-based,90,90,20,5,90,80,0
2.1 Field Traversal,Robotic - drone,5,90,20,1,80,80,0
2.2 Modality of Measurement,Fully Manual,50,5,80,90,5,5,100
2.2 Modality of Measurement,2D Images - Scale markers,90,40,80,70,20,50,60
2.2 Modality of Measurement,2D Images - fixed,90,40,80,70,40,50,60
2.2 Modality of Measurement,3D Images - RGB-D,80,40,70,60,60,70,60
2.2 Modality of Measurement,Point Cloud - LiDAR,70,40,70,60,50,50,100
2.3 Spatiotemporal data,Fully Manual,100,0,80,90,80,0,100
2.3 Spatiotemporal data,RF Trilateration,80,50,80,20,80,40,100
2.3 Spatiotemporal data,Satellite positioning systems (GPS & GNSS),70,50,80,30,80,40,100
2.3 Spatiotemporal data,Accelerometer & Tachometer combo,40,70,80,20,80,40,100
2.3 Spatiotemporal data,Cartographic markers,50,50,90,70,80,40,100
